"Crowdsourced data on dried cannabis prices, use, and consumption",,,,,,,,
"The application was launched January 25, 2018. Data are being collected continuously and will be made available as new information comes in.",,,,,,,,
Submission Date,Price,Quantity (grams),Quality,City (Census subdivision),Province,Primary Reason,Usage,Average Monthly Consumption (grams)
25/01/2018,5,28,High,Boischatel,QC,Use recreationally,Daily,1
25/01/2018,2.857142857,7,Medium,Stoneham-Et-Tewkesbury,QC,Use recreationally,Daily,36
25/01/2018,4,28,High,Stoneham-Et-Tewkesbury,QC,Use recreationally,Daily,1
25/01/2018,4.107142857,28,High,Stoneham-Et-Tewkesbury,QC,Use recreationally,Daily,114
25/01/2018,5,28,High,Stoneham-Et-Tewkesbury,QC,Use recreationally,A few times per week,2
25/01/2018,6.428571429,14,High,Lac-Beauport,QC,Medicate without a medical document,Daily,1
25/01/2018,5.714285714,3.5,Medium,Lac-Beauport,QC,Use recreationally,Daily,20
25/01/2018,5.714285714,7,High,Lac-Beauport,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,High,Lac-Beauport,QC,Use recreationally,A few times a year,5
25/01/2018,5.714285714,3.5,Medium,Sainte-Brigitte-De-Laval,QC,Use recreationally,,0
25/01/2018,5,28,High,Sainte-Brigitte-De-Laval,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Medicate with a medical document,,0
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Medicate without a medical document,,0
25/01/2018,5.714285714,7,Medium,Québec,QC,Medicate without a medical document,,0
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Medicate without a medical document,,0
25/01/2018,5.714285714,28,High,Québec,QC,Medicate without a medical document,,0
25/01/2018,4.285714286,28,High,Québec,QC,Medicate without a medical document,,0
25/01/2018,4.642857143,28,High,Québec,QC,Medicate without a medical document,,0
25/01/2018,4.910714286,112,High,Québec,QC,Medicate without a medical document,,0
25/01/2018,4.464285714,28,High,Québec,QC,Medicate without a medical document,,0
25/01/2018,6.428571429,14,High,Québec,QC,Medicate without a medical document,,0
25/01/2018,2.142857143,14,Low,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,,0
25/01/2018,15,1,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5,28,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,,0
25/01/2018,4,100,Medium,Québec,QC,Use recreationally,,0
25/01/2018,10,1,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5,28,Medium,Québec,QC,Use recreationally,,0
25/01/2018,7.142857143,3.5,Medium,Québec,QC,Use recreationally,,0
25/01/2018,10,1,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.357142857,28,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.357142857,28,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,14,Medium,Québec,QC,Use recreationally,,0
25/01/2018,4.285714286,14,Medium,Québec,QC,Use recreationally,,0
25/01/2018,2.412280702,456,Medium,Québec,QC,Use recreationally,,0
25/01/2018,4.285714286,7,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,,0
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,,0
25/01/2018,4.285714286,28,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,4.285714286,7,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,4.642857143,28,High,Québec,QC,Use recreationally,,0
25/01/2018,4.285714286,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,,0
25/01/2018,2.857142857,7,High,Québec,QC,Use recreationally,,0
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,,0
25/01/2018,4.285714286,7,High,Québec,QC,Use recreationally,,0
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,,0
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,,0
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,,0
25/01/2018,4.821428571,28,High,Québec,QC,Use recreationally,,0
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,,0
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,10,1,High,Québec,QC,Use recreationally,,0
25/01/2018,4.642857143,28,High,Québec,QC,Use recreationally,,0
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,,0
25/01/2018,4.642857143,28,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,,0
25/01/2018,5.714285714,28,High,Québec,QC,Medicate with a medical document,Daily,1
25/01/2018,4,20,Medium,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,3.928571429,28,Medium,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,7.142857143,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,4.285714286,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,7.142857143,7,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,4,1,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,4.642857143,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,3.571428571,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,6.071428571,28,High,Québec,QC,Medicate without a medical document,Daily,0
25/01/2018,5,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,5.357142857,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,4.285714286,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,7.142857143,14,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,3.214285714,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,3.571428571,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,7.142857143,28,High,Québec,QC,Medicate without a medical document,Daily,1
25/01/2018,3.928571429,28,,Québec,QC,Use recreationally,Daily,35
25/01/2018,5.714285714,28,Low,Québec,QC,Use recreationally,Daily,20
25/01/2018,3.571428571,28,Low,Québec,QC,Use recreationally,Daily,20
25/01/2018,5.357142857,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,14,Medium,Québec,QC,Use recreationally,Daily,46
25/01/2018,5,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,4.464285714,28,Medium,Québec,QC,Use recreationally,Daily,0
25/01/2018,4.642857143,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,3.5,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,14,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,4.285714286,28,Medium,Québec,QC,Use recreationally,Daily,20
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.071428571,28,Medium,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,Daily,42
25/01/2018,4.464285714,28,High,Québec,QC,Use recreationally,Daily,100
25/01/2018,4.464285714,28,High,Québec,QC,Use recreationally,Daily,100
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,Daily,56
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.5,14,High,Québec,QC,Use recreationally,Daily,46
25/01/2018,5,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,4.642857143,112,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,2.857142857,3.5,High,Québec,QC,Use recreationally,Daily,74
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.25,16,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,28,High,Québec,QC,Use recreationally,Daily,42
25/01/2018,6.666666667,3,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,40
25/01/2018,4.285714286,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,4.642857143,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,14.28571429,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.892857143,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,4.285714286,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,High,Québec,QC,Use recreationally,Daily,56
25/01/2018,5,28,High,Québec,QC,Use recreationally,Daily,56
25/01/2018,4.285714286,28,High,Québec,QC,Use recreationally,Daily,0
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,4.642857143,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,Daily,52
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.071428571,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,20
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,3.5,Medium,Québec,QC,Medicate without a medical document,A few times per week,2
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Medicate without a medical document,A few times per week,2
25/01/2018,3.571428571,28,Medium,Québec,QC,Medicate without a medical document,A few times per week,2
25/01/2018,3.928571429,28,Low,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5,8,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,3.5,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,3.571428571,28,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,4.285714286,14,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,6.428571429,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,2.857142857,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,4.285714286,28,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,3.571428571,7,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,28,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,4.464285714,28,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,10,3.5,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,14,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,3.571428571,28,Medium,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,28,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,3.714285714,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,3.571428571,28,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,2.857142857,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5,28,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.357142857,28,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,4,3.5,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,6.428571429,14,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,Medium,Québec,QC,Medicate without a medical document,A few times per month,3
25/01/2018,5.357142857,28,High,Québec,QC,Medicate without a medical document,A few times per month,3
25/01/2018,5.714285714,3.5,High,Québec,QC,Medicate without a medical document,A few times per month,3
25/01/2018,6.428571429,7,High,Québec,QC,Medicate without a medical document,A few times per month,2
25/01/2018,4.5,1,Low,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,3.5,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,3.5,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6.428571429,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,14,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,3.5,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5,1,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,4.285714286,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6.428571429,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,Medium,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,10,1,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,3.428571429,3.5,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,3.571428571,28,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,28,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5,1,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6.428571429,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,4.285714286,28,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5,1,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6,1,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,14.28571429,3.5,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6.428571429,28,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,7,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6.428571429,14,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,4.285714286,28,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,6.428571429,14,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,5.714285714,3.5,High,Québec,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,3.5,High,Québec,QC,Use recreationally,A few times per month,3
